name,year,bat,g,ab,h,ba,bb,dbl,dbl.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,trp,trp.pg,r,r.pg,through
Baylor,2010,besr,22,741,232,0.313,100,22,45,2.05,22,1,28,5,33,1.27,10,13,361,0.487,9,0.41,157,7.1,3/28/10
McNeese St.,2010,besr,22,791,247,0.312,82,22,48,2.18,24,1.09,39,9,48,1.77,9,13,381,0.482,7,0.32,163,7.4,3/28/10
Alabama,2010,besr,22,731,228,0.312,103,22,42,1.91,17,0.77,32,15,47,1.45,11,18,335,0.458,7,0.32,173,7.9,3/28/10
UC Davis,2010,besr,20,683,213,0.312,64,20,31,1.55,9,0.45,21,10,31,1.05,12,15,273,0.4,1,0.05,121,6.1,3/28/10
A&M-Corpus Christi,2010,besr,24,869,271,0.312,99,24,46,1.92,21,0.88,22,13,35,0.92,7,8,404,0.465,12,0.5,184,7.7,3/28/10
Marist,2010,besr,20,709,221,0.312,93,20,44,2.2,11,0.55,31,6,37,1.55,8,13,312,0.44,7,0.35,158,7.9,3/28/10
Florida,2010,besr,23,786,245,0.312,105,23,40,1.74,27,1.17,43,13,56,1.87,10,9,376,0.478,5,0.22,169,7.3,3/28/10
Cal St. Fullerton,2010,besr,23,799,249,0.312,59,23,51,2.22,18,0.78,47,13,60,2.04,12,19,372,0.466,9,0.39,142,6.2,3/28/10
Savannah St.,2010,besr,22,771,240,0.311,103,22,48,2.18,9,0.41,68,23,91,3.09,15,8,327,0.424,6,0.27,179,8.1,3/28/10
Fresno St.,2010,besr,24,831,258,0.31,78,24,54,2.25,25,1.04,21,7,28,0.88,11,17,397,0.478,5,0.21,151,6.3,3/28/10
Kansas,2010,besr,24,825,256,0.31,113,24,54,2.25,11,0.46,12,2,14,0.5,21,10,363,0.44,10,0.42,182,7.6,3/28/10
Northwestern St.,2010,besr,22,761,236,0.31,109,22,44,2,18,0.82,43,9,52,1.95,3,13,352,0.463,9,0.41,177,8,3/28/10
North Carolina,2010,besr,25,855,265,0.31,143,25,45,1.8,15,0.6,39,9,48,1.56,22,14,375,0.439,10,0.4,190,7.6,3/28/10
UC Irvine,2010,besr,22,768,238,0.31,77,22,52,2.36,14,0.64,13,10,23,0.59,9,15,342,0.445,5,0.23,157,7.1,3/28/10
Dartmouth,2010,besr,14,494,153,0.31,61,14,28,2,7,0.5,8,7,15,0.57,8,1,212,0.429,5,0.36,86,6.1,3/28/10
Bucknell,2010,besr,24,872,270,0.31,70,24,48,2,21,0.88,19,6,25,0.79,14,13,391,0.448,5,0.21,176,7.3,3/28/10
Texas St.,2010,besr,22,771,238,0.309,85,22,45,2.05,15,0.68,32,9,41,1.45,8,14,344,0.446,8,0.36,163,7.4,3/28/10
Army,2010,besr,17,551,170,0.309,55,17,25,1.47,15,0.88,19,6,25,1.12,9,17,254,0.461,7,0.41,101,5.9,3/28/10
Norfolk St.,2010,besr,16,551,170,0.309,48,16,29,1.81,13,0.81,24,9,33,1.5,3,5,246,0.446,4,0.25,108,6.8,3/28/10
William & Mary,2010,besr,24,801,247,0.308,123,24,51,2.13,9,0.38,43,17,60,1.79,19,15,333,0.416,4,0.17,175,7.3,3/28/10
Wofford,2010,besr,23,843,259,0.307,100,23,58,2.52,26,1.13,30,8,38,1.3,12,4,403,0.478,4,0.17,187,8.1,3/28/10
Illinois,2010,besr,16,542,166,0.306,63,16,33,2.06,7,0.44,39,9,48,2.44,9,6,226,0.417,3,0.19,111,6.9,3/28/10
