name,year,bat,g,ab,h,ba,bb,dbl,dbl.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,trp,trp.pg,r,r.pg,through
Bradley,2010,besr,22,739,206,0.279,76,22,38,1.73,9,0.41,26,16,42,1.18,10,26,281,0.38,5,0.23,102,4.6,4/4/10
Temple,2010,besr,22,780,217,0.278,62,22,43,1.95,13,0.59,13,7,20,0.59,15,5,303,0.388,2,0.09,114,5.2,4/4/10
Miami (OH),2010,besr,26,906,252,0.278,75,26,44,1.69,30,1.15,34,6,40,1.31,9,11,396,0.437,5,0.19,185,7.1,4/4/10
Missouri St.,2010,besr,27,928,258,0.278,116,27,54,2,23,0.85,27,11,38,1,9,20,385,0.415,2,0.07,142,5.3,4/4/10
New Orleans,2010,besr,26,896,249,0.278,95,26,53,2.04,26,1,30,11,41,1.15,14,11,386,0.431,3,0.12,159,6.1,4/4/10
Oregon,2010,besr,29,942,261,0.277,105,29,41,1.41,10,0.34,40,12,52,1.38,5,33,342,0.363,5,0.17,168,5.8,4/4/10
Lehigh,2010,besr,24,787,218,0.277,79,24,35,1.46,9,0.38,17,14,31,0.71,12,19,288,0.366,4,0.17,126,5.3,4/4/10
San Francisco,2010,besr,27,915,253,0.277,82,27,72,2.67,24,0.89,18,11,29,0.67,10,12,401,0.438,2,0.07,145,5.4,4/4/10
Fairfield,2010,besr,24,819,226,0.276,97,24,54,2.25,14,0.58,23,9,32,0.96,6,12,334,0.408,6,0.25,151,6.3,4/4/10
Mississippi St.,2010,besr,28,923,254,0.275,135,28,47,1.68,28,1,34,9,43,1.21,12,23,401,0.434,8,0.29,176,6.3,4/4/10
Fordham,2010,besr,26,943,259,0.275,78,26,56,2.15,9,0.35,28,14,42,1.08,9,9,352,0.373,5,0.19,135,5.2,4/4/10
Furman,2010,besr,28,944,259,0.274,88,28,44,1.57,35,1.25,29,15,44,1.04,12,15,424,0.449,8,0.29,164,5.9,4/4/10
La.-Monroe,2010,besr,28,964,264,0.274,115,28,49,1.75,18,0.64,23,9,32,0.82,12,10,375,0.389,4,0.14,167,6,4/4/10
San Diego St.,2010,besr,28,941,257,0.273,148,28,34,1.21,14,0.5,39,20,59,1.39,12,18,343,0.365,5,0.18,163,5.8,4/4/10
Wagner,2010,besr,20,654,178,0.272,59,20,33,1.65,13,0.65,32,6,38,1.6,2,10,258,0.394,4,0.2,103,5.2,4/4/10
Oral Roberts,2010,besr,24,827,225,0.272,109,24,32,1.33,27,1.13,22,7,29,0.92,8,15,342,0.414,2,0.08,139,5.8,4/4/10
UTSA,2010,besr,26,879,239,0.272,81,26,56,2.15,29,1.12,15,7,22,0.58,5,10,398,0.453,8,0.31,165,6.3,4/4/10
Ohio,2010,besr,24,832,226,0.272,77,24,36,1.5,21,0.88,17,5,22,0.71,5,9,331,0.398,3,0.13,123,5.1,4/4/10
Western Mich.,2010,besr,26,889,241,0.271,93,26,39,1.5,15,0.58,10,5,15,0.38,13,20,347,0.39,11,0.42,136,5.2,4/4/10
UMBC,2010,besr,19,639,173,0.271,73,19,26,1.37,7,0.37,11,4,15,0.58,7,6,224,0.351,2,0.11,89,4.7,4/4/10
Texas,2010,besr,28,905,245,0.271,132,28,51,1.82,30,1.07,36,10,46,1.29,7,29,394,0.435,4,0.14,165,5.9,4/4/10
Brown,2010,besr,19,654,177,0.271,69,19,39,2.05,12,0.63,4,8,12,0.21,9,6,252,0.385,NA,NA,99,5.2,4/4/10
Saint Peter's,2010,besr,24,813,220,0.271,90,24,50,2.08,13,0.54,38,9,47,1.58,9,14,315,0.387,3,0.13,128,5.3,4/4/10
Radford,2010,besr,25,860,232,0.27,104,25,46,1.84,15,0.6,63,16,79,2.52,7,17,337,0.392,7,0.28,147,5.9,4/4/10
Cornell,2010,besr,15,472,127,0.269,36,15,36,2.4,9,0.6,10,8,18,0.67,3,2,198,0.419,4,0.27,70,4.7,4/4/10
Southern U.,2010,besr,19,650,174,0.268,78,19,46,2.42,8,0.42,30,6,36,1.58,5,3,262,0.403,9,0.47,132,6.9,4/4/10
Oregon St.,2010,besr,24,790,211,0.267,109,24,47,1.96,17,0.71,21,9,30,0.88,11,18,315,0.399,3,0.13,170,7.1,4/4/10
Kennesaw St.,2010,besr,30,1061,283,0.267,113,30,56,1.87,26,0.87,32,11,43,1.07,7,14,427,0.402,5,0.17,190,6.3,4/4/10
UNC Asheville,2010,besr,25,874,233,0.267,84,25,47,1.88,12,0.48,11,2,13,0.44,6,10,320,0.366,2,0.08,128,5.1,4/4/10
Monmouth,2010,besr,19,620,165,0.266,48,19,34,1.79,15,0.79,20,6,26,1.05,6,17,254,0.41,5,0.26,105,5.5,4/4/10
Hawaii,2010,besr,28,906,241,0.266,122,28,47,1.68,23,0.82,15,13,28,0.54,11,17,373,0.412,8,0.29,159,5.7,4/4/10
Alabama A&M,2010,besr,29,865,230,0.266,99,29,46,1.59,4,0.14,78,20,98,2.69,10,10,302,0.349,7,0.24,161,5.6,4/4/10
Cleveland St.,2010,besr,22,762,202,0.265,74,22,41,1.86,18,0.82,23,12,35,1.05,6,11,311,0.408,7,0.32,139,6.3,4/4/10
Old Dominion,2010,besr,32,1053,279,0.265,145,32,67,2.09,26,0.81,10,7,17,0.31,14,22,430,0.408,3,0.09,169,5.3,4/4/10
Wake Forest,2010,besr,30,1043,275,0.264,123,30,63,2.1,25,0.83,50,15,65,1.67,8,12,413,0.396,NA,NA,158,5.3,4/4/10
Eastern Ill.,2010,besr,26,894,235,0.263,100,26,46,1.77,14,0.54,20,6,26,0.77,7,20,327,0.366,2,0.08,132,5.1,4/4/10
Ark.-Pine Bluff,2010,besr,20,686,180,0.262,62,20,51,2.55,12,0.6,21,10,31,1.05,8,4,275,0.401,4,0.2,100,5,4/4/10
Oakland,2010,besr,19,622,163,0.262,59,19,38,2,9,0.47,19,11,30,1,6,8,234,0.376,3,0.16,75,3.9,4/4/10
Albany (NY),2010,besr,20,669,175,0.262,77,20,23,1.15,16,0.8,20,8,28,1,8,5,252,0.377,3,0.15,88,4.4,4/4/10
Centenary (LA),2010,besr,23,725,189,0.261,105,23,36,1.57,13,0.57,38,11,49,1.65,7,24,272,0.375,4,0.17,127,5.5,4/4/10
Alabama St.,2010,besr,16,522,136,0.261,67,16,30,1.88,5,0.31,41,10,51,2.56,2,9,183,0.351,1,0.06,114,7.1,4/4/10
Mississippi Val.,2010,besr,27,817,212,0.259,125,27,45,1.67,5,0.19,72,17,89,2.67,14,19,288,0.353,8,0.3,156,5.8,4/4/10
Northern Ill.,2010,besr,26,899,231,0.257,112,26,32,1.23,12,0.46,40,7,47,1.54,6,20,303,0.337,2,0.08,124,4.8,4/4/10
Delaware St.,2010,besr,23,725,186,0.257,109,23,44,1.91,10,0.43,8,5,13,0.35,14,12,260,0.359,NA,NA,139,6,4/4/10
Maryland,2010,besr,29,932,238,0.255,103,29,42,1.45,16,0.55,64,25,89,2.21,10,34,328,0.352,NA,NA,135,4.7,4/4/10
NJIT,2010,besr,21,659,167,0.253,77,21,30,1.43,4,0.19,15,7,22,0.71,NA,9,211,0.32,1,0.05,64,3,4/4/10
Xavier,2010,besr,27,932,236,0.253,89,27,42,1.56,11,0.41,29,9,38,1.07,7,21,311,0.334,NA,NA,121,4.5,4/4/10
Princeton,2010,besr,22,780,197,0.253,78,22,35,1.59,16,0.73,14,1,15,0.64,6,12,284,0.364,2,0.09,103,4.7,4/4/10
LIU Brooklyn,2010,besr,23,701,177,0.252,80,23,31,1.35,8,0.35,21,15,36,0.91,6,17,240,0.342,4,0.17,91,4,4/4/10
Niagara,2010,besr,27,901,225,0.25,84,27,40,1.48,12,0.44,38,13,51,1.41,8,11,309,0.343,4,0.15,110,4.1,4/4/10
Iona,2010,besr,22,737,184,0.25,86,22,35,1.59,11,0.5,23,6,29,1.05,9,1,262,0.355,5,0.23,111,5,4/4/10
Cincinnati,2010,besr,25,814,203,0.249,78,25,33,1.32,12,0.48,28,9,37,1.12,13,15,276,0.339,2,0.08,128,5.1,4/4/10
UNC Greensboro,2010,besr,28,955,238,0.249,131,28,48,1.71,16,0.57,34,7,41,1.21,8,18,352,0.369,9,0.32,175,6.3,4/4/10
Seton Hall,2010,besr,23,752,185,0.246,88,23,37,1.61,4,0.17,19,10,29,0.83,10,22,258,0.343,12,0.52,102,4.4,4/4/10
Pepperdine,2010,besr,23,766,187,0.244,85,23,41,1.78,11,0.48,15,7,22,0.65,7,13,263,0.343,1,0.04,110,4.8,4/4/10
Harvard,2010,besr,22,702,169,0.241,88,22,36,1.64,9,0.41,31,13,44,1.41,6,7,240,0.342,4,0.18,92,4.2,4/4/10
Quinnipiac,2010,besr,20,653,157,0.24,90,20,23,1.15,2,0.1,8,5,13,0.4,4,3,188,0.288,1,0.05,78,3.9,4/4/10
IPFW,2010,besr,23,782,186,0.238,71,23,27,1.17,18,0.78,12,10,22,0.52,4,3,271,0.347,2,0.09,80,3.5,4/4/10
Chicago St.,2010,besr,12,369,85,0.23,33,12,14,1.17,2,0.17,11,4,15,0.92,4,5,105,0.285,NA,NA,41,3.4,4/4/10
UMES,2010,besr,25,750,172,0.229,63,25,29,1.16,5,0.2,35,11,46,1.4,2,12,226,0.301,5,0.2,77,3.1,4/4/10
Georgia St.,2010,besr,32,1190,445,0.374,185,32,99,3.09,59,1.84,47,14,61,1.47,28,21,745,0.626,12,0.38,389,12.2,4/11/10
New Mexico St.,2010,besr,36,1353,500,0.37,260,36,99,2.75,77,2.14,15,4,19,0.42,18,6,852,0.63,11,0.31,416,11.6,4/11/10
Pittsburgh,2010,besr,30,1123,413,0.368,117,30,94,3.13,17,0.57,54,16,70,1.8,14,23,572,0.509,7,0.23,276,9.2,4/11/10
Utah Valley,2010,besr,26,1001,358,0.358,104,26,85,3.27,32,1.23,14,9,23,0.54,9,4,555,0.554,8,0.31,243,9.3,4/11/10
Southeast Mo. St.,2010,besr,31,1124,401,0.357,118,31,80,2.58,49,1.58,26,14,40,0.84,15,11,640,0.569,6,0.19,276,8.9,4/11/10
VMI,2010,besr,33,1201,425,0.354,105,33,92,2.79,59,1.79,60,22,82,1.82,14,24,714,0.595,10,0.3,305,9.2,4/11/10
Arizona,2010,besr,31,1117,394,0.353,117,31,68,2.19,23,0.74,65,20,85,2.1,14,27,563,0.504,16,0.52,265,8.5,4/11/10
FGCU,2010,besr,31,1163,405,0.348,127,31,84,2.71,28,0.9,28,6,34,0.9,14,24,587,0.505,7,0.23,273,8.8,4/11/10
FIU,2010,besr,32,1143,397,0.347,157,32,71,2.22,32,1,50,13,63,1.56,25,15,570,0.499,3,0.09,265,8.3,4/11/10
Auburn,2010,besr,33,1201,417,0.347,139,33,71,2.15,54,1.64,34,15,49,1.03,22,29,672,0.56,11,0.33,298,9,4/11/10
Central Conn. St.,2010,besr,21,750,260,0.347,96,21,50,2.38,19,0.9,12,3,15,0.57,7,9,383,0.511,8,0.38,173,8.2,4/11/10
Arizona St.,2010,besr,31,1068,370,0.346,164,31,78,2.52,25,0.81,71,21,92,2.29,15,14,571,0.535,24,0.77,276,8.9,4/11/10
Bethune-Cookman,2010,besr,32,1103,382,0.346,98,32,66,2.06,50,1.56,44,19,63,1.38,11,16,620,0.562,11,0.34,265,8.3,4/11/10
New Mexico,2010,besr,32,1159,401,0.346,125,32,86,2.69,17,0.53,20,19,39,0.63,19,35,562,0.485,12,0.38,244,7.6,4/11/10
High Point,2010,besr,33,1176,405,0.344,131,33,86,2.61,32,0.97,65,17,82,1.97,18,26,605,0.514,9,0.27,290,8.8,4/11/10
Virginia,2010,besr,34,1215,418,0.344,169,34,86,2.53,26,0.76,55,17,72,1.62,30,18,624,0.514,21,0.62,285,8.4,4/11/10
NYIT,2010,besr,17,631,216,0.342,62,17,30,1.76,19,1.12,26,3,29,1.53,5,14,307,0.487,2,0.12,135,7.9,4/11/10
Dallas Baptist,2010,besr,32,1180,403,0.342,127,32,86,2.69,51,1.59,12,5,17,0.38,17,13,652,0.553,5,0.16,264,8.3,4/11/10
North Carolina St.,2010,besr,33,1256,427,0.34,192,33,86,2.61,51,1.55,32,9,41,0.97,16,14,686,0.546,10,0.3,338,10.2,4/11/10
UCF,2010,besr,34,1226,416,0.339,150,34,80,2.35,45,1.32,48,13,61,1.41,18,15,639,0.521,4,0.12,279,8.2,4/11/10
Charlotte,2010,besr,29,1017,344,0.338,161,29,59,2.03,20,0.69,48,13,61,1.66,15,20,479,0.471,8,0.28,267,9.2,4/11/10
TCU,2010,besr,30,1073,362,0.337,121,30,85,2.83,36,1.2,33,14,47,1.1,16,29,575,0.536,10,0.33,261,8.7,4/11/10
South Dakota St.,2010,besr,26,1009,340,0.337,98,26,66,2.54,39,1.5,23,5,28,0.88,15,14,537,0.532,7,0.27,257,9.9,4/11/10
Pacific,2010,besr,30,1075,362,0.337,87,30,66,2.2,16,0.53,28,10,38,0.93,15,18,492,0.458,8,0.27,201,6.7,4/11/10
George Mason,2010,besr,29,1084,365,0.337,122,29,77,2.66,27,0.93,28,10,38,0.97,25,19,545,0.503,11,0.38,258,8.9,4/11/10
Toledo,2010,besr,30,1117,375,0.336,93,30,89,2.97,38,1.27,38,13,51,1.27,17,15,598,0.535,10,0.33,260,8.7,4/11/10
Ohio St.,2010,besr,28,1025,344,0.336,111,28,50,1.79,23,0.82,15,12,27,0.54,18,10,481,0.469,9,0.32,213,7.6,4/11/10
Michigan St.,2010,besr,28,1012,339,0.335,116,28,61,2.18,17,0.61,62,19,81,2.21,17,17,485,0.479,17,0.61,248,8.9,4/11/10
East Carolina,2010,besr,32,1132,379,0.335,158,32,82,2.56,47,1.47,41,13,54,1.28,19,9,610,0.539,4,0.13,287,9,4/11/10
Mercer,2010,besr,37,1338,447,0.334,152,37,92,2.49,49,1.32,61,8,69,1.65,25,23,694,0.519,4,0.11,317,8.6,4/11/10
Kansas St.,2010,besr,29,985,329,0.334,149,29,61,2.1,19,0.66,67,21,88,2.31,15,34,463,0.47,8,0.28,249,8.6,4/11/10
Georgia Tech,2010,besr,32,1157,386,0.334,172,32,70,2.19,70,2.19,30,11,41,0.94,17,14,692,0.598,13,0.41,329,10.3,4/11/10
Campbell,2010,besr,33,1187,395,0.333,123,33,87,2.64,16,0.48,98,18,116,2.97,17,30,558,0.47,14,0.42,273,8.3,4/11/10
Virginia Tech,2010,besr,34,1228,407,0.331,124,34,88,2.59,45,1.32,34,15,49,1,9,18,646,0.526,8,0.24,271,8,4/11/10
Delaware,2010,besr,28,1024,339,0.331,95,28,79,2.82,35,1.25,20,12,32,0.71,12,2,535,0.522,6,0.21,215,7.7,4/11/10
UCLA,2010,besr,28,1001,331,0.331,119,28,70,2.5,26,0.93,42,14,56,1.5,12,21,489,0.489,5,0.18,213,7.6,4/11/10
Vanderbilt,2010,besr,34,1171,387,0.33,148,34,82,2.41,27,0.79,52,16,68,1.53,21,23,558,0.477,4,0.12,258,7.6,4/11/10
East Tenn. St.,2010,besr,31,1128,372,0.33,148,31,76,2.45,49,1.58,31,10,41,1,10,3,615,0.545,10,0.32,282,9.1,4/11/10
Louisiana Tech,2010,besr,31,1125,371,0.33,117,31,69,2.23,37,1.19,32,19,51,1.03,19,13,561,0.499,5,0.16,262,8.5,4/11/10
Stephen F. Austin,2010,besr,31,1089,359,0.33,117,31,87,2.81,36,1.16,50,19,69,1.61,15,18,568,0.522,7,0.23,236,7.6,4/11/10
Tennessee Tech,2010,besr,33,1178,388,0.329,163,33,79,2.39,32,0.97,37,10,47,1.12,20,20,577,0.49,7,0.21,256,7.8,4/11/10
Middle Tenn.,2010,besr,32,1228,404,0.329,121,32,79,2.47,53,1.66,38,14,52,1.19,9,11,652,0.531,5,0.16,268,8.4,4/11/10
Holy Cross,2010,besr,27,965,317,0.328,125,27,69,2.56,22,0.81,26,12,38,0.96,12,12,472,0.489,10,0.37,218,8.1,4/11/10
Arkansas St.,2010,besr,32,1152,378,0.328,138,32,68,2.13,18,0.56,34,8,42,1.06,15,29,508,0.441,4,0.13,226,7.1,4/11/10
California,2010,besr,30,1082,355,0.328,106,30,74,2.47,23,0.77,33,14,47,1.1,10,23,524,0.484,13,0.43,227,7.6,4/11/10
Santa Clara,2010,besr,29,1057,346,0.327,111,29,76,2.62,19,0.66,31,7,38,1.07,16,17,497,0.47,9,0.31,212,7.3,4/11/10
South Ala.,2010,besr,36,1272,416,0.327,133,36,89,2.47,29,0.81,67,22,89,1.86,19,15,608,0.478,8,0.22,297,8.3,4/11/10
Oklahoma St.,2010,besr,30,1057,345,0.326,125,30,81,2.7,30,1,60,11,71,2,19,10,528,0.5,6,0.2,248,8.3,4/11/10
Arkansas,2010,besr,32,1141,372,0.326,155,32,65,2.03,46,1.44,43,7,50,1.34,17,13,585,0.513,5,0.16,296,9.3,4/11/10
Michigan,2010,besr,29,1054,343,0.325,119,29,62,2.14,18,0.62,50,11,61,1.72,16,10,483,0.458,12,0.41,240,8.3,4/11/10
LSU,2010,besr,32,1126,366,0.325,162,32,62,1.94,36,1.13,56,17,73,1.75,19,10,574,0.51,19,0.59,271,8.5,4/11/10
Morehead St.,2010,besr,35,1244,404,0.325,137,35,64,1.83,68,1.94,40,13,53,1.14,18,6,688,0.553,8,0.23,310,8.9,4/11/10
Manhattan,2010,besr,27,928,301,0.324,129,27,61,2.26,30,1.11,29,16,45,1.07,15,14,466,0.502,7,0.26,222,8.2,4/11/10
Canisius,2010,besr,33,1144,371,0.324,134,33,75,2.27,41,1.24,56,19,75,1.7,19,15,583,0.51,7,0.21,298,9,4/11/10
St. John's (NY),2010,besr,29,1052,341,0.324,132,29,76,2.62,23,0.79,37,9,46,1.28,10,23,506,0.481,10,0.34,236,8.1,4/11/10
Murray St.,2010,besr,31,1096,355,0.324,152,31,76,2.45,35,1.13,23,5,28,0.74,18,15,552,0.504,8,0.26,263,8.5,4/11/10
Purdue,2010,besr,29,1051,340,0.324,115,29,63,2.17,31,1.07,52,22,74,1.79,21,11,518,0.493,11,0.38,220,7.6,4/11/10
Southern Miss.,2010,besr,30,1067,345,0.323,138,30,69,2.3,35,1.17,20,14,34,0.67,15,19,531,0.498,6,0.2,255,8.5,4/11/10
Baylor,2010,besr,30,1034,334,0.323,143,30,68,2.27,32,1.07,36,6,42,1.2,14,20,524,0.507,13,0.43,238,7.9,4/11/10
McNeese St.,2010,besr,31,1130,364,0.322,111,31,67,2.16,41,1.32,62,14,76,2,12,14,570,0.504,8,0.26,253,8.2,4/11/10
BYU,2010,besr,30,1083,348,0.321,96,30,65,2.17,31,1.03,35,17,52,1.17,9,17,536,0.495,15,0.5,209,7,4/11/10
Stetson,2010,besr,34,1220,392,0.321,131,34,83,2.44,29,0.85,55,11,66,1.62,12,14,576,0.472,7,0.21,239,7,4/11/10
Cal St. Fullerton,2010,besr,30,1046,336,0.321,91,30,68,2.27,28,0.93,56,21,77,1.87,13,31,514,0.491,13,0.43,210,7,4/11/10
Wright St.,2010,besr,21,742,238,0.321,72,21,47,2.24,8,0.38,22,9,31,1.05,10,23,335,0.451,13,0.62,150,7.1,4/11/10
North Florida,2010,besr,35,1270,407,0.32,134,35,91,2.6,43,1.23,23,12,35,0.66,16,8,637,0.502,5,0.14,281,8,4/11/10
Indiana,2010,besr,30,1111,356,0.32,101,30,64,2.13,45,1.5,37,19,56,1.23,8,12,571,0.514,8,0.27,233,7.8,4/11/10
Indiana St.,2010,besr,29,1046,335,0.32,99,29,60,2.07,13,0.45,60,11,71,2.07,25,19,466,0.446,16,0.55,220,7.6,4/11/10
Southern Ill.,2010,besr,32,1200,383,0.319,119,32,58,1.81,29,0.91,22,5,27,0.69,18,16,542,0.452,7,0.22,238,7.4,4/11/10
Gardner-Webb,2010,besr,31,1163,371,0.319,100,31,85,2.74,22,0.71,45,19,64,1.45,10,18,538,0.463,8,0.26,223,7.2,4/11/10
Columbia,2010,besr,28,947,302,0.319,130,28,63,2.25,30,1.07,38,12,50,1.36,16,19,473,0.499,9,0.32,209,7.5,4/11/10
Western Ky.,2010,besr,34,1223,389,0.318,155,34,73,2.15,35,1.03,43,10,53,1.26,19,18,607,0.496,20,0.59,301,8.9,4/11/10
Liberty,2010,besr,31,1095,348,0.318,125,31,80,2.58,23,0.74,23,14,37,0.74,26,20,511,0.467,7,0.23,237,7.6,4/11/10
Troy,2010,besr,31,1099,349,0.318,138,31,63,2.03,49,1.58,20,10,30,0.65,15,14,571,0.52,6,0.19,259,8.4,4/11/10
Youngstown St.,2010,besr,24,857,272,0.317,95,24,56,2.33,29,1.21,28,11,39,1.17,11,16,427,0.498,6,0.25,194,8.1,4/11/10
Marist,2010,besr,28,971,308,0.317,135,28,64,2.29,16,0.57,42,7,49,1.5,18,23,438,0.451,9,0.32,229,8.2,4/11/10
UNLV,2010,besr,33,1200,379,0.316,125,33,69,2.09,27,0.82,18,7,25,0.55,14,26,557,0.464,14,0.42,273,8.3,4/11/10
Texas St.,2010,besr,30,1055,333,0.316,120,30,59,1.97,24,0.8,45,13,58,1.5,14,19,486,0.461,11,0.37,218,7.3,4/11/10
Louisville,2010,besr,31,1077,339,0.315,133,31,76,2.45,43,1.39,47,16,63,1.52,9,15,554,0.514,5,0.16,218,7,4/11/10
Coastal Caro.,2010,besr,32,1093,344,0.315,141,32,68,2.13,44,1.38,79,15,94,2.47,11,39,552,0.505,4,0.13,291,9.1,4/11/10
Illinois,2010,besr,26,914,287,0.314,95,26,57,2.19,17,0.65,59,15,74,2.27,15,6,409,0.447,7,0.27,201,7.7,4/11/10
Saint Louis,2010,besr,33,1163,365,0.314,164,33,71,2.15,40,1.21,42,14,56,1.27,18,6,570,0.49,7,0.21,261,7.9,4/11/10
Northwestern St.,2010,besr,31,1084,340,0.314,139,31,61,1.97,21,0.68,65,13,78,2.1,10,20,486,0.448,11,0.35,234,7.5,4/11/10
Akron,2010,besr,30,1085,340,0.313,101,30,55,1.83,24,0.8,10,6,16,0.33,17,14,477,0.44,5,0.17,208,6.9,4/11/10
Cal St. Northridge,2010,besr,31,1117,350,0.313,118,31,70,2.26,31,1,54,19,73,1.74,15,14,519,0.465,3,0.1,229,7.4,4/11/10
Samford,2010,besr,31,1095,343,0.313,128,31,64,2.06,42,1.35,42,8,50,1.35,13,14,545,0.498,6,0.19,243,7.8,4/11/10
James Madison,2010,besr,32,1137,356,0.313,162,32,83,2.59,43,1.34,58,19,77,1.81,26,11,590,0.519,11,0.34,278,8.7,4/11/10
Fresno St.,2010,besr,33,1147,359,0.313,107,33,76,2.3,35,1.06,28,12,40,0.85,14,20,556,0.485,8,0.24,216,6.5,4/11/10
Maine,2010,besr,31,1113,348,0.313,124,31,68,2.19,29,0.94,53,8,61,1.71,13,20,537,0.482,17,0.55,248,8,4/11/10
UC Irvine,2010,besr,29,1008,315,0.313,103,29,64,2.21,22,0.76,20,13,33,0.69,13,28,457,0.453,6,0.21,201,6.9,4/11/10
Oklahoma,2010,besr,32,1083,338,0.312,126,32,66,2.06,43,1.34,46,20,66,1.44,14,35,549,0.507,8,0.25,249,7.8,4/11/10
Col. of Charleston,2010,besr,34,1231,384,0.312,155,34,87,2.56,54,1.59,53,12,65,1.56,19,6,647,0.526,7,0.21,300,8.8,4/11/10
Valparaiso,2010,besr,24,840,262,0.312,79,24,54,2.25,15,0.63,23,4,27,0.96,8,14,381,0.454,10,0.42,180,7.5,4/11/10
Penn,2010,besr,27,917,286,0.312,114,27,72,2.67,23,0.85,26,8,34,0.96,14,10,445,0.485,9,0.33,199,7.4,4/11/10
Savannah St.,2010,besr,32,1103,344,0.312,138,32,75,2.34,14,0.44,110,27,137,3.44,19,18,475,0.431,7,0.22,276,8.6,4/11/10
North Carolina,2010,besr,34,1180,368,0.312,189,34,75,2.21,21,0.62,56,11,67,1.65,25,20,532,0.451,13,0.38,276,8.1,4/11/10
Jacksonville St.,2010,besr,32,1134,353,0.311,152,32,69,2.16,37,1.16,48,3,51,1.5,12,11,557,0.491,12,0.38,267,8.3,4/11/10
Navy,2010,besr,34,1116,347,0.311,120,34,55,1.62,12,0.35,46,15,61,1.35,18,19,462,0.414,12,0.35,212,6.2,4/11/10
Yale,2010,besr,28,895,278,0.311,113,28,70,2.5,29,1.04,37,17,54,1.32,12,5,445,0.497,5,0.18,198,7.1,4/11/10
Norfolk St.,2010,besr,24,821,255,0.311,71,24,51,2.13,17,0.71,39,14,53,1.63,4,9,369,0.449,6,0.25,156,6.5,4/11/10
Rider,2010,besr,28,986,306,0.31,117,28,42,1.5,18,0.64,35,15,50,1.25,11,7,418,0.424,8,0.29,201,7.2,4/11/10
George Washington,2010,besr,31,1057,328,0.31,134,31,60,1.94,32,1.03,46,22,68,1.48,18,28,490,0.464,3,0.1,241,7.8,4/11/10
Eastern Ky.,2010,besr,31,1080,335,0.31,126,31,74,2.39,42,1.35,46,26,72,1.48,13,10,553,0.512,9,0.29,239,7.7,4/11/10
Texas A&M,2010,besr,31,1049,325,0.31,89,31,57,1.84,24,0.77,53,27,80,1.71,12,27,478,0.456,12,0.39,188,6.1,4/11/10
Tulane,2010,besr,33,1114,345,0.31,132,33,58,1.76,24,0.73,17,8,25,0.52,13,21,487,0.437,6,0.18,203,6.2,4/11/10
Longwood,2010,besr,30,998,309,0.31,107,30,73,2.43,27,0.9,37,12,49,1.23,12,19,481,0.482,9,0.3,206,6.9,4/11/10
Nebraska,2010,besr,32,1122,347,0.309,126,32,59,1.84,39,1.22,32,11,43,1,17,10,529,0.471,3,0.09,223,7,4/11/10
Western Caro.,2010,besr,31,1094,338,0.309,126,31,61,1.97,41,1.32,62,14,76,2,11,11,530,0.484,4,0.13,224,7.2,4/11/10
Nevada,2010,besr,30,1036,320,0.309,128,30,80,2.67,32,1.07,45,14,59,1.5,12,15,524,0.506,14,0.47,218,7.3,4/11/10
Jackson St.,2010,besr,28,895,276,0.308,127,28,49,1.75,11,0.39,113,14,127,4.04,10,28,372,0.416,7,0.25,234,8.4,4/11/10
Milwaukee,2010,besr,23,782,241,0.308,70,23,49,2.13,18,0.78,17,9,26,0.74,10,6,362,0.463,9,0.39,129,5.6,4/11/10
Belmont,2010,besr,34,1195,368,0.308,153,34,75,2.21,34,1,41,13,54,1.21,23,17,559,0.468,7,0.21,249,7.3,4/11/10
Alabama,2010,besr,32,1084,333,0.307,145,32,61,1.91,21,0.66,39,17,56,1.22,12,29,471,0.435,7,0.22,234,7.3,4/11/10
Clemson,2010,besr,33,1153,354,0.307,214,33,70,2.12,43,1.3,61,17,78,1.85,26,7,567,0.492,7,0.21,297,9,4/11/10
Bucknell,2010,besr,35,1225,376,0.307,108,35,74,2.11,38,1.09,26,8,34,0.74,19,18,580,0.473,8,0.23,240,6.9,4/11/10
Dayton,2010,besr,32,1161,356,0.307,130,32,80,2.5,36,1.13,52,12,64,1.63,15,18,554,0.477,5,0.16,260,8.1,4/11/10
Brown,2010,besr,26,910,279,0.307,107,26,54,2.08,33,1.27,10,8,18,0.38,12,8,438,0.481,3,0.12,184,7.1,4/11/10
Appalachian St.,2010,besr,30,1041,319,0.306,120,30,68,2.27,34,1.13,69,10,79,2.3,13,9,495,0.476,3,0.1,228,7.6,4/11/10
Rutgers,2010,besr,30,1090,334,0.306,110,30,66,2.2,44,1.47,43,12,55,1.43,13,18,552,0.506,10,0.33,237,7.9,4/11/10
Rice,2010,besr,33,1144,350,0.306,163,33,60,1.82,35,1.06,26,12,38,0.79,19,18,539,0.471,12,0.36,237,7.2,4/11/10
Air Force,2010,besr,31,1138,348,0.306,125,31,73,2.35,28,0.9,39,12,51,1.26,11,25,541,0.475,18,0.58,232,7.5,4/11/10
A&M-Corpus Christi,2010,besr,33,1172,358,0.305,132,33,55,1.67,27,0.82,32,16,48,0.97,10,11,524,0.447,15,0.45,236,7.2,4/11/10
