,name,g,ab,h,ba,bb,2b,2b.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,3b,3b.pg,r,r.pg,through
408,Liberty,25,859,243,0.283,68,25,43,1.72,14,0.56,53,10,63,2.12,8,15,338,0.393,5,0.2,139,5.6,3/27/11
409,South Dakota St.,16,566,160,0.283,50,16,28,1.75,11,0.69,10,4,14,0.63,6,6,239,0.422,9,0.56,86,5.4,3/27/11
410,Rhode Island,21,733,207,0.282,65,21,34,1.62,8,0.38,40,17,57,1.9,8,9,289,0.394,12,0.57,124,5.9,3/27/11
411,Bradley,21,713,201,0.282,74,21,35,1.67,6,0.29,35,15,50,1.67,10,31,274,0.384,10,0.48,118,5.6,3/27/11
412,Iona,20,692,195,0.282,76,20,44,2.2,12,0.6,39,14,53,1.95,5,7,285,0.412,5,0.25,106,5.3,3/27/11
413,Canisius,23,775,218,0.281,88,23,40,1.74,18,0.78,35,9,44,1.52,8,25,318,0.41,3,0.13,160,7,3/27/11
414,East Carolina,23,754,212,0.281,83,23,42,1.83,11,0.48,21,13,34,0.91,7,25,293,0.389,3,0.13,104,4.5,3/27/11
415,Western Caro.,22,772,217,0.281,96,22,51,2.32,12,0.55,38,11,49,1.73,8,11,306,0.396,1,0.05,134,6.1,3/27/11
416,Lehigh,21,694,195,0.281,77,21,35,1.67,6,0.29,47,13,60,2.24,11,9,258,0.372,5,0.24,132,6.3,3/27/11
417,Kennesaw St.,26,869,244,0.281,125,26,64,2.46,13,0.5,30,11,41,1.15,8,11,357,0.411,5,0.19,161,6.2,3/27/11
418,Saint Louis,23,816,229,0.281,121,23,32,1.39,3,0.13,36,10,46,1.57,12,11,274,0.336,2,0.09,137,6,3/27/11
419,St. John's (NY),20,703,197,0.28,102,20,39,1.95,9,0.45,29,7,36,1.45,9,8,269,0.383,3,0.15,136,6.8,3/27/11
420,Illinois St.,21,714,200,0.28,105,21,52,2.48,15,0.71,35,9,44,1.67,7,14,303,0.424,3,0.14,149,7.1,3/27/11
421,Col. of Charleston,25,857,240,0.28,111,25,61,2.44,28,1.12,38,5,43,1.52,19,7,395,0.461,5,0.2,176,7,3/27/11
422,North Carolina St.,25,818,229,0.28,118,25,45,1.8,11,0.44,14,4,18,0.56,8,12,321,0.392,7,0.28,129,5.2,3/27/11
423,Navy,25,837,234,0.28,119,25,44,1.76,10,0.4,34,7,41,1.36,10,15,338,0.404,15,0.6,177,7.1,3/27/11
424,VMI,25,823,230,0.279,61,25,35,1.4,11,0.44,18,8,26,0.72,7,26,302,0.367,2,0.08,110,4.4,3/27/11
425,Rice,27,902,252,0.279,131,27,36,1.33,10,0.37,19,10,29,0.7,18,23,324,0.359,3,0.11,152,5.6,3/27/11
426,Tennessee Tech,21,741,207,0.279,80,21,33,1.57,15,0.71,13,3,16,0.62,5,13,299,0.404,7,0.33,114,5.4,3/27/11
427,Portland,20,706,197,0.279,67,20,42,2.1,12,0.6,15,7,22,0.75,6,14,281,0.398,3,0.15,102,5.1,3/27/11
428,Cincinnati,21,674,188,0.279,96,21,39,1.86,9,0.43,30,11,41,1.43,8,9,258,0.383,2,0.1,115,5.5,3/27/11
429,Kent St.,22,772,215,0.278,86,22,33,1.5,13,0.59,15,7,22,0.68,12,11,305,0.395,9,0.41,129,5.9,3/27/11
430,Southern Utah,22,748,208,0.278,94,22,40,1.82,8,0.36,43,12,55,1.95,12,9,288,0.385,8,0.36,122,5.5,3/27/11
431,Washington St.,19,615,171,0.278,58,19,25,1.32,11,0.58,19,14,33,1,10,9,237,0.385,4,0.21,96,5.1,3/27/11
432,Cal St. Northridge,24,760,211,0.278,84,24,45,1.88,11,0.46,23,8,31,0.96,11,20,299,0.393,5,0.21,128,5.3,3/27/11
433,Yale,17,588,163,0.277,69,17,30,1.76,8,0.47,18,14,32,1.06,4,20,225,0.383,4,0.24,105,6.2,3/27/11
434,Belmont,25,837,232,0.277,93,25,47,1.88,17,0.68,28,8,36,1.12,7,9,336,0.401,3,0.12,139,5.6,3/27/11
435,Santa Clara,20,650,180,0.277,63,20,34,1.7,6,0.3,20,10,30,1,6,26,234,0.36,1,0.05,112,5.6,3/27/11
436,Arkansas,24,791,219,0.277,97,24,44,1.83,14,0.58,51,7,58,2.13,14,24,317,0.401,6,0.25,161,6.7,3/27/11
437,Arkansas St.,25,836,231,0.276,111,25,44,1.76,6,0.24,26,8,34,1.04,12,18,299,0.358,3,0.12,136,5.4,3/27/11
