,name,g,ab,h,ba,bb,2b,2b.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,3b,3b.pg,r,r.pg,through
617,Jacksonville St.,28,960,295,0.307,110,28,47,1.68,15,0.54,35,8,43,1.25,14,14,401,0.418,7,0.25,170,6.1,4/3/11
618,Tennessee,28,934,287,0.307,105,28,55,1.96,20,0.71,63,15,78,2.25,10,17,414,0.443,6,0.21,184,6.6,4/3/11
619,Texas St.,27,922,283,0.307,137,27,38,1.41,25,0.93,50,13,63,1.85,10,26,410,0.445,7,0.26,206,7.6,4/3/11
620,UCF,28,965,296,0.307,118,28,71,2.54,18,0.64,47,11,58,1.68,18,14,437,0.453,8,0.29,196,7,4/3/11
621,Oklahoma St.,28,982,301,0.307,95,28,70,2.5,19,0.68,16,8,24,0.57,16,15,464,0.473,18,0.64,180,6.4,4/3/11
622,Stony Brook,22,771,236,0.306,73,22,53,2.41,6,0.27,28,7,35,1.27,14,13,317,0.411,5,0.23,145,6.6,4/3/11
623,Evansville,24,831,254,0.306,81,24,53,2.21,13,0.54,53,23,76,2.21,9,21,368,0.443,11,0.46,156,6.5,4/3/11
624,Mt. St. Mary's,25,828,253,0.306,92,25,40,1.6,8,0.32,39,20,59,1.56,11,11,329,0.397,6,0.24,148,5.9,4/3/11
625,VCU,26,911,277,0.304,95,26,56,2.15,5,0.19,39,13,52,1.5,15,22,370,0.406,11,0.42,157,6,4/3/11
626,Sam Houston St.,30,1015,308,0.303,129,30,61,2.03,12,0.4,60,24,84,2,14,18,421,0.415,8,0.27,171,5.7,4/3/11
627,Texas Tech,28,923,280,0.303,138,28,61,2.18,12,0.43,50,10,60,1.79,21,23,389,0.421,6,0.21,182,6.5,4/3/11
628,Marist,25,898,272,0.303,126,25,48,1.92,19,0.76,24,9,33,0.96,6,16,385,0.429,4,0.16,200,8,4/3/11
629,North Carolina,30,1032,312,0.302,169,30,60,2,23,0.77,48,10,58,1.6,20,12,469,0.454,14,0.47,242,8.1,4/3/11
630,CSU Bakersfield,27,940,284,0.302,85,27,55,2.04,9,0.33,25,9,34,0.93,23,10,382,0.406,8,0.3,180,6.7,4/3/11
631,North Florida,29,1040,314,0.302,114,29,51,1.76,36,1.24,19,13,32,0.66,14,17,489,0.47,8,0.28,210,7.2,4/3/11
632,Buffalo,25,869,261,0.3,102,25,57,2.28,29,1.16,30,5,35,1.2,15,17,413,0.475,4,0.16,170,6.8,4/3/11
633,UC Irvine,24,776,233,0.3,109,24,42,1.75,6,0.25,21,12,33,0.88,14,23,313,0.403,10,0.42,162,6.8,4/3/11
634,Indiana St.,25,873,262,0.3,117,25,57,2.28,14,0.56,32,12,44,1.28,11,15,393,0.45,16,0.64,181,7.2,4/3/11
635,Virginia,30,1030,309,0.3,122,30,66,2.2,7,0.23,47,21,68,1.57,17,26,410,0.398,7,0.23,226,7.5,4/3/11
636,Delaware St.,28,937,281,0.3,117,28,54,1.93,14,0.5,21,5,26,0.75,7,13,387,0.413,5,0.18,192,6.9,4/3/11
637,Campbell,29,981,294,0.3,83,29,66,2.28,10,0.34,55,20,75,1.9,17,13,400,0.408,5,0.17,204,7,4/3/11
638,Illinois St.,26,891,267,0.3,132,26,65,2.5,25,0.96,49,10,59,1.88,11,17,419,0.47,6,0.23,207,8,4/3/11
639,Charleston So.,30,1015,304,0.3,111,30,42,1.4,13,0.43,39,14,53,1.3,13,46,397,0.391,6,0.2,180,6,4/3/11
640,Southeast Mo. St.,27,962,288,0.299,105,27,56,2.07,23,0.85,30,11,41,1.11,15,18,419,0.436,3,0.11,171,6.3,4/3/11
641,Dallas Baptist,27,942,282,0.299,136,27,58,2.15,18,0.67,32,7,39,1.19,23,17,410,0.435,8,0.3,201,7.4,4/3/11
642,Longwood,32,1057,316,0.299,100,32,62,1.94,22,0.69,31,5,36,0.97,18,23,448,0.424,2,0.06,207,6.5,4/3/11
643,UNLV,29,995,297,0.298,115,29,51,1.76,25,0.86,43,21,64,1.48,12,8,439,0.441,8,0.28,203,7,4/3/11
644,Charlotte,29,930,277,0.298,140,29,45,1.55,7,0.24,59,15,74,2.03,17,32,369,0.397,13,0.45,202,7,4/3/11
645,Houston,29,1015,302,0.298,106,29,58,2,10,0.34,35,11,46,1.21,11,29,424,0.418,17,0.59,187,6.4,4/3/11
646,Savannah St.,29,913,271,0.297,133,29,62,2.14,9,0.31,88,22,110,3.03,17,12,380,0.416,10,0.34,204,7,4/3/11
647,Stephen F. Austin,29,1038,308,0.297,104,29,54,1.86,13,0.45,45,18,63,1.55,13,17,413,0.398,6,0.21,179,6.2,4/3/11
648,Mississippi St.,28,924,274,0.297,134,28,47,1.68,11,0.39,47,15,62,1.68,12,21,374,0.405,10,0.36,194,6.9,4/3/11
649,California,25,860,255,0.297,94,25,62,2.48,12,0.48,26,13,39,1.04,7,34,363,0.422,5,0.2,160,6.4,4/3/11
650,Auburn,28,968,287,0.296,108,28,67,2.39,15,0.54,21,16,37,0.75,9,21,407,0.42,4,0.14,163,5.8,4/3/11
651,Eastern Mich.,28,970,287,0.296,121,28,63,2.25,12,0.43,30,8,38,1.07,10,27,402,0.414,8,0.29,183,6.5,4/3/11
652,Pittsburgh,25,859,254,0.296,96,25,41,1.64,12,0.48,33,17,50,1.32,7,20,355,0.413,12,0.48,156,6.2,4/3/11
653,Southeastern La.,29,975,288,0.295,121,29,55,1.9,19,0.66,35,22,57,1.21,8,23,414,0.425,7,0.24,189,6.5,4/3/11
654,Radford,27,936,276,0.295,98,27,63,2.33,18,0.67,54,19,73,2,13,19,413,0.441,10,0.37,175,6.5,4/3/11
655,Fla. Atlantic,28,926,273,0.295,116,28,60,2.14,16,0.57,29,15,44,1.04,15,14,387,0.418,3,0.11,188,6.7,4/3/11
656,Kentucky,29,945,278,0.294,106,29,62,2.14,18,0.62,50,12,62,1.72,11,38,402,0.425,4,0.14,160,5.5,4/3/11
657,Rhode Island,26,918,270,0.294,75,26,48,1.85,12,0.46,53,19,72,2.04,11,17,380,0.414,13,0.5,161,6.2,4/3/11
658,Jackson St.,25,842,247,0.293,79,25,42,1.68,15,0.6,57,12,69,2.28,13,16,352,0.418,9,0.36,166,6.6,4/3/11
659,Nebraska,30,1033,302,0.292,96,30,57,1.9,21,0.7,37,17,54,1.23,16,27,438,0.424,8,0.27,198,6.6,4/3/11
660,Indiana,27,992,290,0.292,105,27,53,1.96,12,0.44,46,12,58,1.7,12,24,389,0.392,5,0.19,173,6.4,4/3/11
661,High Point,30,1016,297,0.292,97,30,54,1.8,11,0.37,20,12,32,0.67,6,36,388,0.382,2,0.07,178,5.9,4/3/11
662,Lehigh,27,891,260,0.292,98,27,48,1.78,7,0.26,61,15,76,2.26,13,14,339,0.38,5,0.19,167,6.2,4/3/11
663,Columbia,22,741,216,0.291,84,22,37,1.68,9,0.41,35,11,46,1.59,10,12,288,0.389,4,0.18,126,5.7,4/3/11
664,Xavier,29,999,291,0.291,99,29,48,1.66,17,0.59,43,16,59,1.48,10,29,402,0.402,6,0.21,180,6.2,4/3/11
665,Ohio St.,21,711,207,0.291,74,21,34,1.62,7,0.33,15,9,24,0.71,6,21,272,0.383,5,0.24,123,5.9,4/3/11
666,N.C. A&T,26,873,254,0.291,84,26,47,1.81,18,0.69,36,11,47,1.38,13,4,377,0.432,11,0.42,157,6,4/3/11
667,VMI,28,928,270,0.291,70,28,47,1.68,14,0.5,21,9,30,0.75,12,29,363,0.391,2,0.07,138,4.9,4/3/11
668,Morehead St.,27,966,281,0.291,84,27,61,2.26,24,0.89,21,19,40,0.78,9,13,424,0.439,5,0.19,155,5.7,4/3/11
669,FIU,30,1049,305,0.291,119,30,60,2,25,0.83,39,18,57,1.3,6,14,446,0.425,3,0.1,184,6.1,4/3/11
670,Saint Louis,28,1008,293,0.291,135,28,51,1.82,5,0.18,41,11,52,1.46,14,12,363,0.36,2,0.07,170,6.1,4/3/11
671,Troy,27,882,256,0.29,137,27,63,2.33,11,0.41,30,12,42,1.11,18,21,366,0.415,7,0.26,186,6.9,4/3/11
672,George Mason,29,1000,290,0.29,145,29,59,2.03,25,0.86,22,12,34,0.76,22,15,436,0.436,6,0.21,200,6.9,4/3/11
673,Bradley,25,852,247,0.29,95,25,45,1.8,7,0.28,41,16,57,1.64,12,37,333,0.391,10,0.4,162,6.5,4/3/11
674,Richmond,28,973,282,0.29,99,28,53,1.89,9,0.32,46,9,55,1.64,10,27,372,0.382,5,0.18,150,5.4,4/3/11
675,Rider,25,825,239,0.29,92,25,46,1.84,9,0.36,29,9,38,1.16,15,17,312,0.378,NA,NA,157,6.3,4/3/11
676,Samford,30,971,281,0.289,113,30,47,1.57,22,0.73,19,9,28,0.63,14,13,410,0.422,8,0.27,186,6.2,4/3/11
677,Ole Miss,29,976,282,0.289,110,29,52,1.79,19,0.66,27,8,35,0.93,9,24,401,0.411,5,0.17,159,5.5,4/3/11
678,Penn St.,25,856,247,0.289,95,25,51,2.04,15,0.6,25,8,33,1,4,8,365,0.426,11,0.44,150,6,4/3/11
679,Col. of Charleston,28,957,276,0.288,134,28,70,2.5,31,1.11,43,7,50,1.54,22,8,449,0.469,5,0.18,212,7.6,4/3/11
680,Loyola Marymount,26,850,245,0.288,77,26,48,1.85,6,0.23,30,21,51,1.15,10,25,319,0.375,4,0.15,117,4.5,4/3/11
681,McNeese St.,29,1003,289,0.288,141,29,61,2.1,7,0.24,33,8,41,1.14,11,17,395,0.394,12,0.41,181,6.2,4/3/11
682,South Carolina,27,892,257,0.288,125,27,56,2.07,26,0.96,19,10,29,0.7,8,27,409,0.459,9,0.33,180,6.7,4/3/11
683,Winthrop,27,904,260,0.288,106,27,38,1.41,5,0.19,43,10,53,1.59,18,28,319,0.353,3,0.11,153,5.7,4/3/11
684,Florida St.,28,960,276,0.288,191,28,69,2.46,26,0.93,34,15,49,1.21,11,11,431,0.449,4,0.14,211,7.5,4/3/11
685,La.-Lafayette,27,849,244,0.287,101,27,56,2.07,14,0.52,31,22,53,1.15,13,31,362,0.426,10,0.37,144,5.3,4/3/11
686,Stetson,29,992,285,0.287,119,29,46,1.59,11,0.38,31,8,39,1.07,14,20,384,0.387,10,0.34,172,5.9,4/3/11
687,Baylor,29,1013,291,0.287,130,29,48,1.66,11,0.38,56,8,64,1.93,15,19,396,0.391,12,0.41,176,6.1,4/3/11
688,South Ala.,27,933,268,0.287,101,27,56,2.07,18,0.67,28,15,43,1.04,10,9,386,0.414,4,0.15,149,5.5,4/3/11
689,South Dakota St.,18,658,189,0.287,61,18,34,1.89,11,0.61,12,5,17,0.67,10,10,274,0.416,9,0.5,103,5.7,4/3/11
690,Texas A&M,28,947,272,0.287,81,28,44,1.57,12,0.43,46,18,64,1.64,11,29,382,0.403,15,0.54,167,6,4/3/11
691,LIU Brooklyn,24,780,224,0.287,87,24,47,1.96,4,0.17,15,16,31,0.63,6,14,293,0.376,5,0.21,126,5.3,4/3/11
692,Manhattan,23,749,215,0.287,71,23,43,1.87,10,0.43,30,13,43,1.3,11,28,302,0.403,7,0.3,121,5.3,4/3/11
693,Penn,22,740,212,0.286,76,22,40,1.82,18,0.82,31,11,42,1.41,8,15,316,0.427,5,0.23,129,5.9,4/3/11
694,Kennesaw St.,30,1011,289,0.286,141,30,78,2.6,19,0.63,34,11,45,1.13,11,11,436,0.431,6,0.2,190,6.3,4/3/11
695,Georgetown,29,1006,287,0.285,124,29,64,2.21,21,0.72,48,20,68,1.66,9,10,428,0.425,7,0.24,200,6.9,4/3/11
696,Creighton,25,828,236,0.285,71,25,51,2.04,13,0.52,35,10,45,1.4,12,37,348,0.42,11,0.44,148,5.9,4/3/11
697,Ark.-Pine Bluff,26,854,243,0.285,96,26,51,1.96,7,0.27,16,6,22,0.62,11,11,345,0.404,15,0.58,142,5.5,4/3/11
698,Wofford,29,974,277,0.284,116,29,44,1.52,12,0.41,49,12,61,1.69,8,19,383,0.393,13,0.45,162,5.6,4/3/11
699,UTSA,29,989,281,0.284,89,29,54,1.86,17,0.59,33,11,44,1.14,14,24,412,0.417,13,0.45,160,5.5,4/3/11
700,Duke,30,997,283,0.284,123,30,57,1.9,4,0.13,51,18,69,1.7,19,17,380,0.381,14,0.47,175,5.8,4/3/11
701,Tennessee Tech,25,874,248,0.284,90,25,40,1.6,21,0.84,15,4,19,0.6,5,16,365,0.418,7,0.28,139,5.6,4/3/11
702,Fresno St.,23,793,225,0.284,90,23,51,2.22,15,0.65,17,9,26,0.74,8,22,335,0.422,7,0.3,141,6.1,4/3/11
703,La.-Monroe,26,878,249,0.284,108,26,51,1.96,14,0.54,25,9,34,0.96,10,19,348,0.396,3,0.12,153,5.9,4/3/11
704,Canisius,28,942,267,0.283,107,28,50,1.79,23,0.82,38,10,48,1.36,13,28,398,0.423,6,0.21,203,7.3,4/3/11
705,Santa Clara,25,847,240,0.283,72,25,41,1.64,7,0.28,21,11,32,0.84,7,30,304,0.359,1,0.04,142,5.7,4/3/11
706,UALR,27,907,257,0.283,121,27,56,2.07,12,0.44,19,16,35,0.7,13,22,353,0.389,2,0.07,148,5.5,4/3/11
707,Washington St.,23,759,215,0.283,72,23,36,1.57,12,0.52,22,16,38,0.96,11,9,299,0.394,6,0.26,129,5.6,4/3/11
708,Texas-Arlington,28,978,277,0.283,77,28,56,2,6,0.21,19,10,29,0.68,15,21,357,0.365,3,0.11,129,4.6,4/3/11
709,Monmouth,25,823,233,0.283,87,25,37,1.48,8,0.32,23,8,31,0.92,9,28,302,0.367,4,0.16,116,4.6,4/3/11
710,Sacred Heart,25,841,238,0.283,72,25,35,1.4,5,0.2,26,11,37,1.04,9,30,302,0.359,7,0.28,125,5,4/3/11
711,North Carolina St.,29,962,272,0.283,140,29,54,1.86,17,0.59,19,6,25,0.66,8,14,391,0.406,7,0.24,166,5.7,4/3/11
712,Austin Peay,25,839,237,0.282,108,25,43,1.72,16,0.64,49,15,64,1.96,17,12,346,0.412,9,0.36,147,5.9,4/3/11
713,East Carolina,27,905,255,0.282,103,27,53,1.96,14,0.52,22,14,36,0.81,9,27,358,0.396,4,0.15,136,5,4/3/11
714,Lamar,31,1047,295,0.282,146,31,59,1.9,7,0.23,29,13,42,0.94,13,20,381,0.364,3,0.1,177,5.7,4/3/11
715,Western Caro.,26,916,258,0.282,110,26,60,2.31,13,0.5,43,12,55,1.65,9,13,365,0.398,4,0.15,159,6.1,4/3/11
716,Utah,22,735,207,0.282,70,22,37,1.68,8,0.36,20,8,28,0.91,8,26,286,0.389,9,0.41,114,5.2,4/3/11
717,Middle Tenn.,26,927,261,0.282,95,26,48,1.85,14,0.54,28,8,36,1.08,13,13,365,0.394,7,0.27,136,5.2,4/3/11
718,Binghamton,22,718,202,0.281,72,22,35,1.59,12,0.55,22,9,31,1,5,14,277,0.386,2,0.09,115,5.2,4/3/11
719,Rice,29,967,272,0.281,146,29,39,1.34,10,0.34,22,12,34,0.76,20,25,347,0.359,3,0.1,164,5.7,4/3/11
720,Navy,30,1007,283,0.281,133,30,51,1.7,13,0.43,46,8,54,1.53,13,16,403,0.4,15,0.5,213,7.1,4/3/11
721,Yale,22,748,210,0.281,84,22,39,1.77,9,0.41,25,15,40,1.14,7,23,288,0.385,6,0.27,135,6.1,4/3/11
722,Cincinnati,25,816,229,0.281,105,25,47,1.88,11,0.44,32,13,45,1.28,10,10,313,0.384,2,0.08,129,5.2,4/3/11
723,Northern Ill.,24,820,230,0.28,109,24,41,1.71,9,0.38,33,14,47,1.38,6,15,316,0.385,9,0.38,146,6.1,4/3/11
724,BYU,26,899,252,0.28,107,26,55,2.12,16,0.62,27,9,36,1.04,11,30,377,0.419,11,0.42,150,5.8,4/3/11
725,Oakland,16,557,156,0.28,60,16,21,1.31,3,0.19,37,11,48,2.31,6,12,190,0.341,2,0.13,79,4.9,4/3/11
726,Appalachian St.,28,918,257,0.28,119,28,42,1.5,12,0.43,45,20,65,1.61,12,11,349,0.38,7,0.25,149,5.3,4/3/11
727,Iona,24,820,229,0.279,91,24,52,2.17,13,0.54,45,18,63,1.88,6,8,330,0.402,5,0.21,126,5.3,4/3/11
728,Grambling,25,842,235,0.279,127,25,28,1.12,12,0.48,48,20,68,1.92,8,14,345,0.41,23,0.92,182,7.3,4/3/11
729,Texas Southern,26,860,240,0.279,95,26,40,1.54,6,0.23,35,13,48,1.35,15,32,304,0.353,3,0.12,123,4.7,4/3/11
730,Kent St.,25,878,245,0.279,97,25,37,1.48,14,0.56,17,7,24,0.68,12,14,342,0.39,9,0.36,138,5.5,4/3/11
731,Bethune-Cookman,28,918,256,0.279,101,28,55,1.96,33,1.18,17,11,28,0.61,11,14,424,0.462,7,0.25,169,6,4/3/11
732,Liberty,29,987,275,0.279,82,29,48,1.66,15,0.52,64,13,77,2.21,11,19,378,0.383,5,0.17,159,5.5,4/3/11
733,Alabama,30,973,271,0.279,122,30,56,1.87,8,0.27,25,12,37,0.83,9,32,367,0.377,8,0.27,170,5.7,4/3/11
734,Dayton,28,957,266,0.278,117,28,58,2.07,10,0.36,46,22,68,1.64,9,17,362,0.378,4,0.14,153,5.5,4/3/11
735,Lafayette,24,810,225,0.278,83,24,39,1.63,9,0.38,26,13,39,1.08,13,15,301,0.372,5,0.21,121,5,4/3/11
736,UNC Asheville,27,948,263,0.277,129,27,44,1.63,6,0.22,34,11,45,1.26,8,11,331,0.349,3,0.11,160,5.9,4/3/11
737,Butler,23,776,215,0.277,108,23,44,1.91,10,0.43,20,11,31,0.87,9,17,297,0.383,4,0.17,141,6.1,4/3/11
738,Louisiana Tech,27,899,249,0.277,111,27,41,1.52,10,0.37,30,19,49,1.11,16,16,322,0.358,1,0.04,153,5.7,4/3/11
739,Utah Valley,23,809,224,0.277,91,23,48,2.09,11,0.48,23,12,35,1,3,17,319,0.394,7,0.3,114,5,4/3/11
740,Norfolk St.,26,820,227,0.277,89,26,42,1.62,7,0.27,32,13,45,1.23,6,18,294,0.359,2,0.08,122,4.7,4/3/11
741,Connecticut,25,878,243,0.277,86,25,48,1.92,8,0.32,54,15,69,2.16,11,15,325,0.37,5,0.2,138,5.5,4/3/11
742,St. Bonaventure,20,651,180,0.276,76,20,29,1.45,8,0.4,12,15,27,0.6,8,9,237,0.364,2,0.1,94,4.7,4/3/11
743,FGCU,29,1039,287,0.276,129,29,60,2.07,16,0.55,10,5,15,0.34,14,33,405,0.39,5,0.17,170,5.9,4/3/11
744,Wagner,24,775,214,0.276,70,24,41,1.71,4,0.17,39,12,51,1.63,9,11,275,0.355,4,0.17,106,4.4,4/3/11
745,Arkansas,27,891,245,0.275,105,27,46,1.7,16,0.59,57,8,65,2.11,14,27,351,0.394,6,0.22,171,6.3,4/3/11
746,Bowling Green,22,771,212,0.275,95,22,28,1.27,10,0.45,22,6,28,1,6,18,288,0.374,9,0.41,131,6,4/3/11
747,Air Force,28,943,259,0.275,80,28,44,1.57,16,0.57,34,12,46,1.21,7,18,371,0.393,10,0.36,140,5,4/3/11
748,La Salle,27,907,249,0.275,76,27,52,1.93,6,0.22,21,15,36,0.78,10,21,335,0.369,8,0.3,128,4.7,4/3/11
749,St. Mary's (CA),24,843,231,0.274,67,24,37,1.54,8,0.33,22,6,28,0.92,3,24,300,0.356,4,0.17,106,4.4,4/3/11
750,San Jose St.,27,939,257,0.274,109,27,44,1.63,9,0.33,27,16,43,1,7,32,344,0.366,8,0.3,159,5.9,4/3/11
751,UC Riverside,22,760,208,0.274,86,22,43,1.95,6,0.27,14,6,20,0.64,7,19,277,0.364,4,0.18,102,4.6,4/3/11
752,Western Ill.,25,860,235,0.273,98,25,48,1.92,12,0.48,37,16,53,1.48,8,26,323,0.376,2,0.08,128,5.1,4/3/11
753,Oregon St.,27,897,245,0.273,136,27,55,2.04,11,0.41,32,7,39,1.19,11,30,341,0.38,4,0.15,180,6.7,4/3/11
754,Holy Cross,27,909,248,0.273,98,27,53,1.96,12,0.44,40,9,49,1.48,6,23,351,0.386,7,0.26,153,5.7,4/3/11
755,Ill.-Chicago,24,785,214,0.273,102,24,34,1.42,6,0.25,25,19,44,1.04,8,34,274,0.349,4,0.17,117,4.9,4/3/11
756,Belmont,29,980,267,0.272,110,29,53,1.83,21,0.72,33,9,42,1.14,8,13,391,0.399,4,0.14,161,5.6,4/3/11
757,Gonzaga,25,856,233,0.272,78,25,52,2.08,13,0.52,16,9,25,0.64,11,30,338,0.395,7,0.28,136,5.4,4/3/11
758,Cal St. Fullerton,28,875,238,0.272,78,28,35,1.25,6,0.21,45,30,75,1.61,18,49,315,0.36,12,0.43,141,5,4/3/11
759,St. John's (NY),25,869,236,0.272,126,25,50,2,12,0.48,36,11,47,1.44,9,11,330,0.38,4,0.16,160,6.4,4/3/11
760,Virginia Tech,30,1020,277,0.272,91,30,59,1.97,33,1.1,28,8,36,0.93,15,21,453,0.444,9,0.3,190,6.3,4/3/11
761,UC Santa Barbara,23,744,202,0.272,64,23,49,2.13,6,0.26,21,9,30,0.91,9,12,291,0.391,11,0.48,111,4.8,4/3/11
762,Miami (OH),27,937,254,0.271,94,27,50,1.85,15,0.56,49,11,60,1.81,8,11,365,0.39,8,0.3,154,5.7,4/3/11
763,William & Mary,31,1011,274,0.271,122,31,57,1.84,5,0.16,37,22,59,1.19,9,39,354,0.35,4,0.13,156,5,4/3/11
764,Saint Peter's,23,742,201,0.271,69,23,29,1.26,4,0.17,43,10,53,1.87,7,9,252,0.34,5,0.22,107,4.7,4/3/11
765,Kansas St.,27,899,243,0.27,104,27,49,1.81,10,0.37,57,11,68,2.11,16,24,334,0.372,6,0.22,153,5.7,4/3/11
766,Citadel,28,936,253,0.27,89,28,53,1.89,12,0.43,37,11,48,1.32,11,23,358,0.382,8,0.29,151,5.4,4/3/11
767,Mississippi Val.,29,881,238,0.27,113,29,46,1.59,9,0.31,61,26,87,2.1,9,21,337,0.383,13,0.45,163,5.6,4/3/11
768,Florida A&M,32,963,260,0.27,77,32,41,1.28,5,0.16,25,11,36,0.78,10,18,340,0.353,12,0.38,135,4.2,4/3/11
769,Milwaukee,23,804,217,0.27,82,23,33,1.43,7,0.3,28,11,39,1.22,14,14,271,0.337,NA,NA,98,4.3,4/3/11
770,UMBC,20,693,187,0.27,56,20,47,2.35,2,0.1,8,5,13,0.4,4,10,250,0.361,5,0.25,91,4.6,4/3/11
771,Delaware,28,984,265,0.269,92,28,55,1.96,14,0.5,11,8,19,0.39,15,5,372,0.378,5,0.18,161,5.8,4/3/11
772,New Mexico,29,977,263,0.269,93,29,48,1.66,8,0.28,17,11,28,0.59,10,27,347,0.355,6,0.21,150,5.2,4/3/11
773,Quinnipiac,22,710,191,0.269,72,22,24,1.09,4,0.18,26,5,31,1.18,9,9,229,0.323,1,0.05,96,4.4,4/3/11
774,Alabama St.,22,740,199,0.269,85,22,37,1.68,7,0.32,65,12,77,2.95,3,10,267,0.361,5,0.23,138,6.3,4/3/11
775,Tex.-Pan American,17,570,153,0.268,68,17,23,1.35,6,0.35,11,14,25,0.65,3,10,202,0.354,4,0.24,80,4.7,4/3/11
776,Southern Utah,25,839,225,0.268,105,25,41,1.64,9,0.36,45,13,58,1.8,12,10,309,0.368,8,0.32,128,5.1,4/3/11
777,Eastern Ky.,28,936,251,0.268,103,28,43,1.54,19,0.68,36,15,51,1.29,4,14,357,0.381,3,0.11,138,4.9,4/3/11
778,Fairleigh Dickinson,22,728,195,0.268,45,22,36,1.64,7,0.32,7,4,11,0.32,8,15,262,0.36,5,0.23,94,4.3,4/3/11
779,Central Conn. St.,21,695,186,0.268,104,21,23,1.1,2,0.1,17,11,28,0.81,7,22,223,0.321,4,0.19,102,4.9,4/3/11
780,Maine,25,850,227,0.267,84,25,32,1.28,8,0.32,27,5,32,1.08,9,19,297,0.349,7,0.28,125,5,4/3/11
781,Southern Ill.,26,892,238,0.267,84,26,44,1.69,6,0.23,16,9,25,0.62,14,18,308,0.345,4,0.15,114,4.4,4/3/11
782,Fordham,27,961,256,0.266,81,27,53,1.96,11,0.41,47,14,61,1.74,7,11,360,0.375,9,0.33,138,5.1,4/3/11
783,Hofstra,22,717,191,0.266,73,22,37,1.68,8,0.36,16,17,33,0.73,6,12,260,0.363,4,0.18,97,4.4,4/3/11
784,UMES,27,883,235,0.266,79,27,47,1.74,9,0.33,21,8,29,0.78,12,4,337,0.382,14,0.52,139,5.1,4/3/11
785,Wichita St.,29,1022,271,0.265,155,29,55,1.9,12,0.41,60,8,68,2.07,12,15,382,0.374,10,0.34,180,6.2,4/3/11
786,Illinois,21,732,194,0.265,68,21,33,1.57,6,0.29,37,13,50,1.76,10,4,259,0.354,7,0.33,120,5.7,4/3/11
787,Long Beach St.,26,854,226,0.265,71,26,34,1.31,4,0.15,22,16,38,0.85,7,40,282,0.33,5,0.19,104,4,4/3/11
788,Northwestern,24,806,213,0.264,74,24,48,2,6,0.25,12,8,20,0.5,9,24,293,0.364,7,0.29,114,4.8,4/3/11
789,Cal St. Northridge,28,886,234,0.264,101,28,53,1.89,12,0.43,27,9,36,0.96,14,20,335,0.378,6,0.21,143,5.1,4/3/11
790,Portland,24,837,221,0.264,73,24,48,2,13,0.54,17,7,24,0.71,6,15,316,0.378,4,0.17,109,4.5,4/3/11
791,Bucknell,28,906,239,0.264,102,28,42,1.5,25,0.89,8,5,13,0.29,9,18,370,0.408,7,0.25,140,5,4/3/11
792,Massachusetts,19,621,163,0.262,78,19,22,1.16,12,0.63,22,8,30,1.16,11,21,227,0.366,3,0.16,110,5.8,4/3/11
793,Minnesota,19,626,164,0.262,62,19,34,1.79,4,0.21,17,8,25,0.89,9,12,224,0.358,7,0.37,79,4.2,4/3/11
794,Missouri,28,928,243,0.262,122,28,37,1.32,5,0.18,57,20,77,2.04,9,21,307,0.331,6,0.21,141,5,4/3/11
795,UAB,27,891,233,0.262,112,27,33,1.22,6,0.22,36,13,49,1.33,10,30,292,0.328,4,0.15,120,4.4,4/3/11
796,Prairie View,22,696,182,0.261,69,22,27,1.23,3,0.14,20,4,24,0.91,6,21,242,0.348,12,0.55,100,4.5,4/3/11
797,Villanova,27,896,234,0.261,94,27,39,1.44,6,0.22,35,8,43,1.3,9,26,299,0.334,4,0.15,115,4.3,4/3/11
798,Southern California,28,905,236,0.261,95,28,36,1.29,12,0.43,23,17,40,0.82,9,21,318,0.351,5,0.18,125,4.5,4/3/11
799,Georgia,28,917,239,0.261,68,28,45,1.61,13,0.46,27,6,33,0.96,13,14,327,0.357,2,0.07,127,4.5,4/3/11
800,Northeastern,24,825,215,0.261,52,24,36,1.5,6,0.25,34,14,48,1.42,7,12,279,0.338,5,0.21,98,4.1,4/3/11
801,Elon,29,975,254,0.261,154,29,38,1.31,17,0.59,51,25,76,1.76,12,23,367,0.376,12,0.41,188,6.5,4/3/11
802,San Diego,25,868,226,0.26,68,25,47,1.88,8,0.32,48,10,58,1.92,5,17,301,0.347,2,0.08,102,4.1,4/3/11
803,UT Martin,27,930,242,0.26,92,27,51,1.89,11,0.41,26,4,30,0.96,12,13,336,0.361,5,0.19,150,5.6,4/3/11
804,Arkansas St.,30,992,258,0.26,135,30,48,1.6,6,0.2,28,10,38,0.93,12,22,332,0.335,4,0.13,146,4.9,4/3/11
805,Miami (FL),28,896,233,0.26,129,28,49,1.75,13,0.46,46,11,57,1.64,8,33,331,0.369,5,0.18,143,5.1,4/3/11
806,South Fla.,27,920,237,0.258,65,27,31,1.15,10,0.37,25,8,33,0.93,7,24,312,0.339,7,0.26,120,4.4,4/3/11
807,Furman,28,920,237,0.258,129,28,47,1.68,6,0.21,28,11,39,1,10,26,318,0.346,8,0.29,124,4.4,4/3/11
808,Central Mich.,29,1030,265,0.257,118,29,66,2.28,14,0.48,28,4,32,0.97,11,17,391,0.38,9,0.31,154,5.3,4/3/11
